stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
419790,49001220,"Lelystad, Houtribweg",52.548533,5.489844,0,stoparea:121968,null,1,null,CXX:49001220
2032026,49110330,"Lelystad, Inditex / Mac3",52.472353,5.49364,0,stoparea:346487,null,0,null,null
1401243,49000990,"Lelystad, Jagersveld",52.530516,5.486383,0,stoparea:279991,null,null,null,null
5339,49002300,"Lelystad, Jol West",52.508489,5.444399,0,stoparea:998,null,1,null,null
5266,49002310,"Lelystad, Jol West",52.508606,5.444163,0,stoparea:998,null,1,null,null
5362,49005550,"Lelystad, Karveelbrug",52.520321,5.467663,0,null,null,1,null,null
5242,49005600,"Lelystad, Karveelbrug",52.520518,5.468327,0,null,null,1,null,null
5338,49003000,"Lelystad, Kempenaar Midden",52.51627,5.464341,0,null,null,1,null,null
2032028,49003010,"Lelystad, Kempenaar Midden",52.516333,5.464283,0,null,null,null,null,null
5327,49005650,"Lelystad, Kempenaarbrug",52.520164,5.460017,0,stoparea:978,null,1,null,null
5298,49005700,"Lelystad, Kempenaarbrug",52.520514,5.46068,0,stoparea:978,null,1,null,null
1656112,49008310,"Lelystad, Klaproos",52.488105,5.445491,0,null,null,null,null,null
1656113,49008320,"Lelystad, Klaproos",52.488132,5.446242,0,null,null,null,null,null
1420253,49240030,"Lelystad, Klokbekerweg",52.559663,5.579971,0,stoparea:120602,null,0,null,CXX:49240030
359586,49240040,"Lelystad, Klokbekerweg",52.56038,5.581448,0,stoparea:120602,null,0,null,CXX:49240040
356851,49000850,"Lelystad, Kwikstraat",52.534079,5.519566,0,stoparea:121443,null,0,null,CXX:49000850
362928,49140060,"Lelystad, Kwikstraat",52.534096,5.519979,0,stoparea:121443,null,0,null,CXX:49140060
5356,49000550,"Lelystad, Langezand",52.525278,5.494917,0,null,null,0,null,null
549090,49110240,"Lelystad, Larserpoort",52.476893,5.501879,0,stoparea:1025,null,0,null,null
549091,49110250,"Lelystad, Larserpoort",52.477503,5.502926,0,stoparea:1025,null,0,null,null
1544975,49008850,"Lelystad, Larserpoortweg",52.479037,5.505726,0,stoparea:301108,null,1,null,CXX:49008850
1544983,49110020,"Lelystad, Larserpoortweg",52.478462,5.50571,0,stoparea:301108,null,1,null,CXX:49110020
5246,49000050,"Lelystad, Lelycentre",52.520784,5.484593,0,stoparea:992,null,0,null,null
359306,49000050,"Lelystad, Lelycentre",52.520686,5.484578,0,stoparea:122022,null,0,null,CXX:49000050
354576,49000101,"Lelystad, Lelycentre",52.520855,5.485698,0,stoparea:122022,null,1,null,CXX:49000101
1928551,49000101,"Lelystad, Lelycentre/Houtribdreef",52.520855,5.485698,0,stoparea:344480,null,1,null,null
415987,49110010,"Lelystad, Natuurpark",52.474591,5.512161,0,stoparea:122552,null,1,null,CXX:49110010
361640,49210020,"Lelystad, Natuurpark",52.473241,5.513482,0,stoparea:122552,null,1,null,CXX:49210020
5286,49003900,"Lelystad, Nienoord",52.499756,5.50291,0,stoparea:1013,null,1,null,null
1400666,49004000,"Lelystad, Nienoord",52.499883,5.500982,0,stoparea:1013,null,1,null,null
2032025,49110340,"Lelystad, Omroep Flevoland",52.474503,5.510336,0,null,null,0,null,null
2032033,49110350,"Lelystad, Omroep Flevoland",52.474728,5.509954,0,null,null,0,null,null
5323,49000162,"Lelystad, Oostkaap",52.516427,5.493305,0,null,null,1,null,null
1401271,49000430,"Lelystad, Oostrandbrug",52.513265,5.510518,0,stoparea:279997,null,null,null,null
1401256,49000470,"Lelystad, Oostrandbrug",52.51376,5.510018,0,stoparea:279997,null,null,null,null
1401265,49000820,"Lelystad, Oostranddreef",52.518901,5.509281,0,stoparea:279995,null,0,null,null
2218320,49005400,"Lelystad, Oostranddreef",52.518901,5.509355,0,null,null,0,null,CXX:49005400
2219667,49005450,"Lelystad, Oostranddreef",52.518901,5.509355,0,null,null,0,null,CXX:49005450
5250,49000190,"Lelystad, Oostvaardersbrug",52.510228,5.435386,0,stoparea:981,null,1,null,null
1400662,49004240,"Lelystad, Oostzeestraat",52.494122,5.492265,0,stoparea:1007,null,1,null,null
5319,49004250,"Lelystad, Oostzeestraat",52.494087,5.490924,0,stoparea:1007,null,1,null,null
1542914,49008810,"Lelystad, Palazzo",52.490602,5.488001,0,stoparea:122438,null,1,null,CXX:49008810
2032030,49008810,"Lelystad, Palazzo",52.490593,5.487972,0,stoparea:1000,null,1,null,null
1542958,49008820,"Lelystad, Palazzo",52.491476,5.485868,0,stoparea:122438,null,0,null,CXX:49008820
2032027,49008820,"Lelystad, Palazzo",52.491449,5.485868,0,stoparea:1000,null,0,null,null
1401248,49000590,"Lelystad, Parkhaven",52.53474,5.447115,0,stoparea:279994,null,0,null,null
1401251,49000900,"Lelystad, Parlaan",52.544135,5.455973,0,stoparea:279989,null,null,null,null
1928513,49000910,"Lelystad, Parlaan",52.54392,5.456002,0,stoparea:279989,null,null,null,null
360250,49006800,"Lelystad, Pekstraat",52.531643,5.519514,0,null,null,0,null,CXX:49006800
419471,49006850,"Lelystad, Pekstraat",52.530835,5.518996,0,null,null,0,null,CXX:49006850
221479,49004510,"Lelystad, Penitentiaire Inrichting",52.493788,5.47109,0,stoparea:979,null,1,null,null
5222,49000120,"Lelystad, Plantagebrug",52.510441,5.50394,0,null,null,1,null,null
5329,49000080,"Lelystad, Politiebrug",52.50009,5.481013,0,null,null,1,null,null
5243,49005350,"Lelystad, Politiebrug",52.499838,5.480644,0,null,null,0,null,null
354117,49240010,"Lelystad, Proefstation",52.540364,5.564984,0,stoparea:120974,null,0,null,CXX:49240010
360979,49240020,"Lelystad, Proefstation",52.5403,5.566148,0,stoparea:120974,null,0,null,CXX:49240020
5317,49002600,"Lelystad, Punter",52.515739,5.449461,0,stoparea:997,null,1,null,null
5341,49002610,"Lelystad, Punter",52.515317,5.448709,0,stoparea:997,null,1,null,null
5402,49002500,"Lelystad, Punter Zuid",52.514806,5.446838,0,stoparea:996,null,1,null,null
5276,49000370,"Lelystad, Reygersbeek",52.519904,5.441835,0,stoparea:1001,null,1,null,null
5320,49000310,"Lelystad, Rijnland",52.495911,5.467737,0,null,null,0,null,null
365231,49000060,"Lelystad, Rotondebrug",52.52045,5.475192,0,stoparea:120680,null,1,null,CXX:49000060
1400658,49000060,"Lelystad, Rotondebrug",52.520424,5.474883,0,stoparea:1012,null,1,null,null
5297,49000070,"Lelystad, Rotondebrug",52.520747,5.474338,0,stoparea:1012,null,1,null,null
358817,49000070,"Lelystad, Rotondebrug",52.520721,5.474324,0,stoparea:120680,null,1,null,CXX:49000070
2220238,49005500,"Lelystad, Runderweg",52.520884,5.555889,0,stoparea:356115,null,0,null,CXX:49005500
2219371,49130020,"Lelystad, Runderweg",52.520765,5.557759,0,stoparea:356115,null,0,null,CXX:49130020
1928516,49001670,"Lelystad, Salland",52.495456,5.463333,0,null,null,null,null,null
1928517,49001680,"Lelystad, Salland",52.493802,5.463507,0,null,null,1,null,null
5342,49005250,"Lelystad, Schansbrug",52.515473,5.472339,0,null,null,1,null,null
357132,49005250,"Lelystad, Schansbrug",52.515473,5.472369,0,null,null,1,null,CXX:49005250
5262,49005300,"Lelystad, Schansbrug",52.513361,5.472939,0,null,null,1,null,null
